observation_date,CPI,IP,MB,M1,M2
6/1/2010,217.199,94.4319,2024.077,1731.7,8596.5
7/1/2010,217.605,94.836,2015.265,1724.4,8606.1
8/1/2010,217.923,95.1423,2014.724,1749.3,8656.4
9/1/2010,218.275,95.35,1981.247,1766.5,8687.4
10/1/2010,219.035,95.0991,1998.588,1780.9,8736.6
11/1/2010,219.59,95.1376,1991.198,1826.2,8757.2
12/1/2010,220.472,96.0339,2009.353,1835.8,8789.1
1/1/2011,221.187,95.9363,2057.208,1853.4,8825.8
2/1/2011,221.898,95.5147,2243.647,1872.5,8871.2
3/1/2011,223.046,96.4651,2428.273,1891.3,8915.6
4/1/2011,224.093,96.1325,2531.765,1901.4,8977.8
5/1/2011,224.806,96.3347,2590.433,1938.7,9029.1
6/1/2011,224.806,96.5889,2671.528,1956.2,9113.3
7/1/2011,225.395,97.1011,2703.588,2001.9,9301.2
8/1/2011,226.106,97.6642,2680.468,2113.8,9514.9
9/1/2011,226.597,97.6132,2656.663,2128.1,9539.5
10/1/2011,226.75,98.2931,2678.541,2140.2,9571.1
11/1/2011,227.169,98.2325,2623.193,2164.1,9612.1
12/1/2011,227.223,98.7699,2603.716,2163.5,9650.9
1/1/2012,227.842,99.3672,2647.726,2201.8,9730.2
2/1/2012,228.329,99.6443,2733.303,2209.9,9773
3/1/2012,228.807,99.1594,2684.414,2229,9817.7
4/1/2012,229.187,99.9173,2673.91,2248.8,9872.1
5/1/2012,228.713,100.0956,2635.134,2257.2,9903.7
6/1/2012,228.524,100.0478,2644.969,2277.3,9973.5
7/1/2012,228.59,100.3144,2669.48,2318.5,10046.6
8/1/2012,229.918,99.9036,2669.84,2348.9,10117.7
9/1/2012,231.015,99.8944,2616.688,2390.1,10200
10/1/2012,231.638,100.1192,2649.206,2422.5,10261.3
11/1/2012,231.249,100.61,2665.524,2421.2,10319.8
12/1/2012,231.221,100.9267,2657.234,2460.6,10445.6
1/1/2013,231.679,100.8779,2749.24,2473.3,10471.4
2/1/2013,232.937,101.4265,2874.698,2472.4,10468.3
3/1/2013,232.282,101.8186,2973.67,2480.4,10539.8
4/1/2013,231.797,101.695,3045.884,2515.8,10575.1
5/1/2013,231.893,101.7517,3139.227,2530.7,10611.3
6/1/2013,232.445,101.9486,3222.379,2531.4,10665.7
7/1/2013,232.9,101.446,3310.35,2545.8,10721.7
8/1/2013,233.456,102.1758,3419.655,2552.1,10780.1
9/1/2013,233.544,102.6774,3509.062,2584.5,10832.5
10/1/2013,233.669,102.5438,3630.758,2623,10945.4
11/1/2013,234.1,102.8625,3702.166,2623.1,10953.1
12/1/2013,234.719,103.1747,3685.395,2664.4,11015.7
1/1/2014,235.288,102.7053,3733.589,2696.4,11066.2
2/1/2014,235.547,103.6016,3869.626,2726.4,11148.7
3/1/2014,236.028,104.5893,3925.88,2754.8,11190.3
4/1/2014,236.468,104.7423,3965.202,2778.6,11246.7
5/1/2014,236.918,105.0571,3932.539,2795.2,11314.4
6/1/2014,237.231,105.4084,3970.973,2829.5,11366.6
7/1/2014,237.498,105.5609,4009.08,2841.6,11427.8
8/1/2014,237.46,105.4797,4097.276,2802.9,11457.1
9/1/2014,237.477,105.7908,4072.188,2862.2,11492
10/1/2014,237.43,105.8154,4041.445,2868.8,11552.4
11/1/2014,236.983,106.663,3848.142,2884.9,11591.5
12/1/2014,236.252,106.5032,3898.571,2940.7,11670.1
1/1/2015,234.718,105.8772,4019.999,2941,11733.2
2/1/2015,235.236,105.4193,3866.786,3007.1,11852.4
3/1/2015,236.005,105.0856,4081.658,2999.6,11868.8
4/1/2015,236.156,104.5604,4089.282,3000.9,11916.1
5/1/2015,236.974,104.0675,3959.169,2986.6,11947.6
6/1/2015,237.684,103.6891,3951.298,3020,11993.1
7/1/2015,238.053,104.2443,3989.687,3039.7,12045.3
8/1/2015,238.028,104.1318,4003.503,3028.5,12096.8
9/1/2015,237.506,103.7281,4049.765,3044.2,12153.8
10/1/2015,237.781,103.3569,4099.142,3018.6,12187.7
11/1/2015,238.016,102.7323,4026.138,3081.7,12277.4
12/1/2015,237.817,102.2696,3816.145,3094.9,12335.9
1/1/2016,237.833,103.0314,3779.861,3099,12461.3
2/1/2016,237.469,102.3429,3908.947,3130.4,12533.5
3/1/2016,238.038,101.5415,3926.824,3151.1,12595.2
4/1/2016,238.827,101.7479,3912.355,3200.3,12684.8
5/1/2016,239.464,101.6011,3858.6,3238.7,12750.9
6/1/2016,240.167,101.9476,3846.348,3245.7,12819.4
7/1/2016,240.15,102.1435,3788.929,3247.9,12880.6
8/1/2016,240.602,102.0654,3843.108,3315.1,12968
9/1/2016,241.051,101.9304,3750.188,3326.5,13031.3
10/1/2016,241.691,102.0557,3608.149,3335.7,13105.2
11/1/2016,242.029,101.8293,3649.042,3354.1,13178.4
12/1/2016,242.772,102.7877,3509.874,3342.4,13209.6
1/1/2017,243.78,102.5393,3594.328,3390.9,13282.3
2/1/2017,243.961,102.1574,3781.494,3404.7,13340
3/1/2017,243.749,102.7236,3887.717,3445.5,13405.3
4/1/2017,244.051,103.7148,3853.027,3454.2,13470.4
5/1/2017,243.962,103.7121,3797.079,3517.3,13521.3
6/1/2017,244.182,103.771,3797.151,3525.9,13551.6
7/1/2017,244.39,103.6206,3803.323,3550.9,13617.1
8/1/2017,245.297,103.1956,3929.042,3580.7,13672
9/1/2017,246.418,103.176,3886.075,3574.2,13717.9
10/1/2017,246.587,104.7647,3871.663,3606.7,13779.8
11/1/2017,247.332,105.2943,3925.692,3630.6,13809.9
12/1/2017,247.901,105.7698,3823.708,3612,13851.9
1/1/2018,248.884,105.4371,3825.077,3653.2,13867.7
2/1/2018,249.369,105.9166,3891.241,3622.5,13890.4
3/1/2018,249.498,106.4488,3833.319,3656.4,13941.1
4/1/2018,249.956,107.6624,3756.052,3660.3,13974.1
5/1/2018,250.646,106.7781,3695.453,3654.7,14035.2
6/1/2018,251.134,107.4443,3676.642,3655,14107.5
7/1/2018,251.597,107.8948,3631.096,3676.8,14148.5
8/1/2018,251.879,108.8232,3603.593,3679.7,14190.4
9/1/2018,252.01,109.02,3572.161,3703.4,14224.9
10/1/2018,252.794,109.3289,3560.108,3718.7,14250.9
11/1/2018,252.76,109.9836,3492.731,3695.2,14276.5
12/1/2018,252.723,110.0826,3372.911,3744,14387.7
1/1/2019,252.673,109.4447,3342.842,3737.1,14465.7
