xDatex,PUS,PMX,RUS,RMX
Oct-86,110.2,1.368824000000,5.85,91.48
Nov-86,110.4,1.461304000000,6.04,94.19
Dec-86,110.8,1.576735000000,6.91,95.33
Jan-87,111.4,1.704401000000,6.43,95.89
Feb-87,111.8,1.827386000000,6.10,96.20
Mar-87,112.2,1.948153000000,6.13,96.25
Apr-87,112.7,2.118606000000,6.37,95.79
May-87,113,2.278325000000,6.85,94.79
Jun-87,113.5,2.443146000000,6.73,93.76
Jul-87,113.8,2.641022000000,6.58,92.91
Aug-87,114.3,2.856872000000,6.73,92.15
Sep-87,114.7,3.045081000000,7.22,91.02
Oct-87,115,3.298845000000,7.29,90.30
Nov-87,115.4,3.560511000000,6.69,92.37
Dec-87,115.6,4.086392000000,6.77,104.29
Jan-88,116,4.718246000000,6.83,122.54
Feb-88,116.2,5.111783000000,6.58,135.88
Mar-88,116.5,5.373547000000,6.58,117.16
Apr-88,117.2,5.538941000000,6.87,81.03
May-88,117.5,5.646109000000,7.09,60.59
Jun-88,118,5.761292000000,7.51,46.76
Jul-88,118.5,5.857457000000,7.75,40.72
Aug-88,119,5.911343000000,8.01,39.90
Sep-88,119.5,5.945139000000,8.19,39.90
Oct-88,119.9,5.990486000000,8.30,40.03
Nov-88,120.3,6.070654000000,8.35,41.65
Dec-88,120.7,6.197316000000,8.76,45.48
Jan-89,121.2,6.349024000000,9.12,49.37
Feb-89,121.6,6.435184000000,9.36,48.70
Mar-89,122.2,6.504945000000,9.85,47.30
Apr-89,123.1,6.602224000000,9.84,46.91
May-89,123.7,6.693099000000,9.81,49.15
Jun-89,124.1,6.774385000000,9.53,51.97
Jul-89,124.5,6.842148000000,9.24,51.50
Aug-89,124.5,6.907333000000,8.99,38.12
Sep-89,124.8,6.973393000000,9.02,35.24
Oct-89,125.4,7.076525000000,8.84,37.40
Nov-89,125.9,7.175855000000,8.55,39.51
Dec-89,126.3,7.418030000000,8.45,40.11
Jan-90,127.5,7.776037000000,8.23,42.08
Feb-90,128,7.952120000000,8.24,44.87
Mar-90,128.6,8.092310000000,8.28,47.15
Apr-90,128.9,8.215472000000,8.26,47.20
May-90,129.1,8.358838000000,8.18,42.62
Jun-90,129.9,8.542939000000,8.29,35.16
Jul-90,130.5,8.698735000000,8.15,33.05
Aug-90,131.6,8.846950000000,8.13,31.27
Sep-90,132.5,8.973061000000,8.20,31.11
Oct-90,133.4,9.102060000000,8.11,31.52
Nov-90,133.7,9.343723000000,7.81,29.56
Dec-90,134.2,9.638214000000,7.31,29.23
Jan-91,134.7,9.883880000000,6.91,27.14
Feb-91,134.8,10.056425000000,6.25,25.71
Mar-91,134.8,10.199840000000,6.12,24.29
Apr-91,135.1,10.306688000000,5.91,23.62
May-91,135.6,10.407442000000,5.78,23.10
