DATE,EXJPUS
9/1/1993,105.5748
10/1/1993,107.02
11/1/1993,107.8765
12/1/1993,109.913
1/1/1994,111.4415
2/1/1994,106.3011
3/1/1994,105.0974
4/1/1994,103.4843
5/1/1994,103.7533
6/1/1994,102.5264
7/1/1994,98.445
8/1/1994,99.9404
9/1/1994,98.7743
10/1/1994,98.353
11/1/1994,98.044
12/1/1994,100.1824
1/1/1995,99.766
2/1/1995,98.2368
3/1/1995,90.5196
4/1/1995,83.6895
5/1/1995,85.1127
6/1/1995,84.6355
7/1/1995,87.397
8/1/1995,94.7383
9/1/1995,100.5455
10/1/1995,100.839
11/1/1995,101.94
12/1/1995,101.8495
1/1/1996,105.7514
2/1/1996,105.788
3/1/1996,105.94
4/1/1996,107.1995
5/1/1996,106.3423
6/1/1996,108.96
7/1/1996,109.1909
8/1/1996,107.8659
9/1/1996,109.931
10/1/1996,112.4123
11/1/1996,112.2958
12/1/1996,113.981
1/1/1997,117.9124
2/1/1997,122.9621
3/1/1997,122.7738
4/1/1997,125.6377
5/1/1997,119.1924
6/1/1997,114.2857
7/1/1997,115.3759
8/1/1997,117.9295
9/1/1997,120.89
10/1/1997,121.0605
11/1/1997,125.3817
12/1/1997,129.7341
1/1/1998,129.5475
2/1/1998,125.8516
3/1/1998,129.0823
4/1/1998,131.7536
5/1/1998,134.896
6/1/1998,140.3305
7/1/1998,140.7874
8/1/1998,144.68
9/1/1998,134.4805
10/1/1998,121.0486
11/1/1998,120.2895
12/1/1998,117.0709
1/1/1999,113.29
2/1/1999,116.6684
3/1/1999,119.473
4/1/1999,119.7723
5/1/1999,121.9995
6/1/1999,120.7245
7/1/1999,119.3305
8/1/1999,113.2268
9/1/1999,106.8752
10/1/1999,105.965
11/1/1999,104.6485
12/1/1999,102.5843
1/1/2000,105.296
2/1/2000,109.3885
3/1/2000,106.3074
4/1/2000,105.627
5/1/2000,108.3205
6/1/2000,106.1255
7/1/2000,108.2115
8/1/2000,108.0804
9/1/2000,106.8375
10/1/2000,108.4429
11/1/2000,109.0095
12/1/2000,112.209
1/1/2001,116.6719
2/1/2001,116.2337
3/1/2001,121.505
4/1/2001,123.771
5/1/2001,121.7682
6/1/2001,122.351
7/1/2001,124.4981
8/1/2001,121.367
9/1/2001,118.6117
10/1/2001,121.4536
11/1/2001,122.4055
12/1/2001,127.5945
1/1/2002,132.6833
2/1/2002,133.6426
3/1/2002,131.061
4/1/2002,130.7718
5/1/2002,126.375
6/1/2002,123.2905
7/1/2002,117.8991
8/1/2002,118.9927
9/1/2002,121.078
10/1/2002,123.9077
11/1/2002,121.6079
12/1/2002,121.8929
1/1/2003,118.8133
2/1/2003,119.3379
3/1/2003,118.6871
4/1/2003,119.895
5/1/2003,117.3681
6/1/2003,118.329
7/1/2003,118.6959
8/1/2003,118.6624
9/1/2003,114.8
10/1/2003,109.4955
11/1/2003,109.1778
12/1/2003,107.7377
1/1/2004,106.2685
2/1/2004,106.7079
3/1/2004,108.5157
4/1/2004,107.6564
5/1/2004,112.196
6/1/2004,109.4336
7/1/2004,109.4871
8/1/2004,110.2336
9/1/2004,110.0914
10/1/2004,108.7835
11/1/2004,104.699
12/1/2004,103.8104
1/1/2005,103.341
2/1/2005,104.9442
3/1/2005,105.2543
4/1/2005,107.1938
5/1/2005,106.5952
6/1/2005,108.7473
7/1/2005,111.9535
8/1/2005,110.6065
9/1/2005,111.239
10/1/2005,114.8695
11/1/2005,118.454
12/1/2005,118.4624
1/1/2006,115.4765
2/1/2006,117.8605
3/1/2006,117.2778
4/1/2006,117.0695
5/1/2006,111.7305
6/1/2006,114.625
7/1/2006,115.767
8/1/2006,115.9243
9/1/2006,117.2145
10/1/2006,118.609
11/1/2006,117.3205
12/1/2006,117.322
1/1/2007,120.4471
2/1/2007,120.5047
3/1/2007,117.26
4/1/2007,118.9324
5/1/2007,120.7732
6/1/2007,122.6886
7/1/2007,121.4148
8/1/2007,116.7335
9/1/2007,115.0435
10/1/2007,115.8661
11/1/2007,111.0729
12/1/2007,112.449
1/1/2008,107.8181
2/1/2008,107.03
3/1/2008,100.7562
4/1/2008,102.6777
5/1/2008,104.3595
6/1/2008,106.9152
7/1/2008,106.8518
8/1/2008,109.3624
9/1/2008,106.5748
10/1/2008,99.9659
11/1/2008,96.9656
12/1/2008,91.275
1/1/2009,90.1205
2/1/2009,92.9158
3/1/2009,97.855
4/1/2009,98.92
5/1/2009,96.6445
6/1/2009,96.6145
7/1/2009,94.367
8/1/2009,94.8971
9/1/2009,91.2748
10/1/2009,90.3671
11/1/2009,89.2674
12/1/2009,89.9509
1/1/2010,91.1011
2/1/2010,90.1395
3/1/2010,90.7161
4/1/2010,93.4527
5/1/2010,91.973
6/1/2010,90.8059
7/1/2010,87.5005
8/1/2010,85.3727
9/1/2010,84.3571
10/1/2010,81.7285
11/1/2010,82.518
12/1/2010,83.3376
1/1/2011,82.625
2/1/2011,82.5368
3/1/2011,81.647
4/1/2011,83.1771
5/1/2011,81.1257
6/1/2011,80.4259
7/1/2011,79.2425
8/1/2011,76.9657
9/1/2011,76.7957
10/1/2011,76.643
11/1/2011,77.5595
12/1/2011,77.7967
1/1/2012,76.964
2/1/2012,78.47
3/1/2012,82.4659
4/1/2012,81.2524
5/1/2012,79.6668
6/1/2012,79.3152
7/1/2012,78.9348
8/1/2012,78.6909
9/1/2012,78.1353
10/1/2012,79.0132
11/1/2012,81.0305
12/1/2012,83.7905
1/1/2013,89.0581
2/1/2013,93.0016
3/1/2013,94.77
4/1/2013,97.7582
5/1/2013,100.9186
6/1/2013,97.235
7/1/2013,99.6727
8/1/2013,97.8123
9/1/2013,99.21
10/1/2013,97.77
11/1/2013,100.0737
12/1/2013,103.46
1/1/2014,103.7614
2/1/2014,102.1253
3/1/2014,102.3395
4/1/2014,102.4582
5/1/2014,101.7738
6/1/2014,102.0629
7/1/2014,101.74
8/1/2014,102.9438
9/1/2014,107.4257
10/1/2014,108.0264
11/1/2014,116.2994
12/1/2014,119.3233
1/1/2015,118.25
2/1/2015,118.76
3/1/2015,120.3945
4/1/2015,119.5095
5/1/2015,120.798
6/1/2015,123.7186
7/1/2015,123.3109
8/1/2015,123.0038
9/1/2015,120.1476
10/1/2015,120.0481
11/1/2015,122.6432
12/1/2015,121.635
1/1/2016,118.2258
2/1/2016,114.6155
3/1/2016,112.9317
4/1/2016,109.5519
5/1/2016,108.8481
6/1/2016,105.3509
7/1/2016,104.191
8/1/2016,101.2383
9/1/2016,101.7843
10/1/2016,103.9075
11/1/2016,108.443
12/1/2016,115.9981
1/1/2017,114.8721
2/1/2017,112.9116
3/1/2017,112.9165
4/1/2017,110.091
5/1/2017,112.2436
6/1/2017,110.9141
7/1/2017,112.417
8/1/2017,109.827
9/1/2017,110.776
10/1/2017,112.9148
11/1/2017,112.819
12/1/2017,112.9405
1/1/2018,110.871
2/1/2018,107.97
3/1/2018,106.0468
4/1/2018,107.6562
5/1/2018,109.6882
6/1/2018,110.0638
7/1/2018,111.521
8/1/2018,110.9965
9/1/2018,112.0974
10/1/2018,112.7218
11/1/2018,113.338
12/1/2018,112.1994
1/1/2019,108.9605
2/1/2019,110.44
3/1/2019,111.1443
4/1/2019,111.6414
5/1/2019,109.9714
6/1/2019,108.0685
7/1/2019,108.2864
8/1/2019,106.1886
9/1/2019,107.54
10/1/2019,108.1368
